brand,model,screen_size,cpu,ram,OS,special_features,graphics,graphics_coprocessor,cpu_speed,rating,price,harddisk_numeric
panasonic,panasonic toughbook,12.0,i7,16.0,windows 10,pen,integrated,,,,1773.99,512.0
dell,xps 17 9700,17.0,i9,32.0,windows 10 home,,nvidia rtx 2060,nvidia geforce rtx 2060,,4.1,4999.0,1024.0
msi,modern 14 c13m-621us,14.0,i7,16.0,windows 11 home,,integrated,intel iris,,5.0,839.99,1024.0
lenovo,thinkpad p16 gen 1,16.0,i7,16.0,windows 11 pro,backlit keyboard,integrated,,,4.5,1499.0,512.0
acer,c732-c6wu,11.6,Celeron,4.0,chrome os,memory card slot,integrated,,,4.4,334.99,32.0
hp,16-f2013dx,16.0,i7,16.0,windows 11 home,backlit keyboard,dedicated,intel iris xe graphics,,,1400.0,512.0
dell,latitude 7000,16.0,i7,16.0,windows 11 pro,anti-glare screen,iris xe graphics,intel iris xe graphics,,,1599.99,512.0
lenovo,thinkpad e15 gen 4,15.6,Ryzen 5,16.0,windows 11,anti-glare screen,radeon graphics,amd radeon graphics,,,864.14,512.0
lenovo,300e chromebook 2nd gen,11.6,Celeron,8.0,chrome os,anti-glare screen,uhd graphics 600,intel uhd graphics 600,,,282.67,32.0
lenovo,chromebook,11.6,a-series,4.0,chrome os,anti-glare,integrated,,,4.2,253.46,32.0
lenovo,thinkbook 14 g4 iap,14.0,i5,16.0,windows 11,anti-glare screen,iris xe graphics,intel iris xe graphics,,,965.99,256.0
dell,g15 5521 laptop,15.6,i7,16.0,windows 11 home,,dedicated,nvidia geforce rtx 3060,,,1163.99,1000.0
lenovo,thinkpad x1 yoga gen 7,14.0,i5,16.0,windows 11,information not available,iris xe graphics,intel iris xe graphics,,,1152.45,256.0
lenovo,lenovo flex 5 2 in 1,14.0,Ryzen 3,4.0,windows 10,dolby,integrated,integrated amd radeon graphics,,4.2,468.0,256.0
asus,rog strix scar gl703ge,17.3,i7,16.0,windows 10 home,,dedicated,nvidia geforce gtx 1050 ti,,4.3,1699.0,1000.0
lenovo,thinkpad p15s gen 2,15.6,i7,32.0,windows 10 pro,anti-glare screen,quadro t500,,,1.0,1349.99,1024.0
iview,iview megatron 4g,14.1,Celeron,4.0,windows 10 pro,,integrated,embedded,,3.1,239.99,64.0
msi,cprom15843,15.6,i7,16.0,windows 11 pro,,"integrated, dedicated",nvidia geforce gtx 1050,,,1246.47,1024.0
dell,latitude 7420,14.0,i5,16.0,windows 10 pro,anti glare,integrated,intel iris xe graphics,,,792.95,256.0
hp,zbook 17 g3,17.3,i7,16.0,windows 10 pro 64 bit multi-language support english/french/spanish,,integrated,integrated graphics,,1.0,474.98,1000.0
lenovo,300e-convertible,11.6,Celeron,4.0,windows 10 home,,integrated,intel hd graphics 500,,4.0,269.99,64.0
acer,acer swift,14.0,i7,8.0,windows 10,"backlit keyboard,fingerprint reader",integrated,intel iris xe graphics,,2.9,599.99,512.0
dell,latitude 7000,14.0,i5,16.0,windows 11 pro,anti-glare screen,iris xe graphics,intel iris xe graphics,,,1359.99,256.0
dell,dell g16 7620,16.0,i7,32.0,windows 10 pro,"hd audio, backlit keyboard, anti glare coating",dedicated,,,,1374.98,1024.0
msi,creatorpro x17 a12uks-059,17.3,i9,32.0,windows 11,,dedicated,nvidia quadro rtx 3000,,5.0,4499.0,1024.0
lenovo,lenovo ideapad,15.6,i3,4.0,windows 11 home in s mode,,integrated,,2.4,3.7,360.0,256.0
dell,latitude 7320 detachable 2-in-1,13.0,i5,8.0,windows 11 pro,wifi & bluetooth,integrated,,,3.0,749.99,256.0
asus,e410ma-tb.cl464,14.0,Celeron,4.0,windows 11 s,,integrated,intel uhd graphics 600,1.1,4.6,229.99,64.0
hp,hp stream,11.6,others,4.0,windows 10,,integrated,,1,4.8,176.24,32.0
lenovo,lenovo ideapad,15.6,i3,8.0,windows 10,,integrated,intel uhd graphics,,4.5,400.0,256.0
dell,latitude 5440,14.0,i7,32.0,windows 11 pro,"anti-glare,backlit keyboard",integrated,intel,,,996.99,512.0
hp,hp stream,11.6,Celeron,4.0,windows 10 s,anti glare coating,integrated,,,4.2,194.97,32.0
dell,latitude 7000,13.3,i7,16.0,windows 10 pro,anti-glare screen,iris xe graphics,,,,1718.99,512.0
dell,latitude 9000,14.0,i7,16.0,windows 11 pro,"anti-reflection, anti-smudge, corning gorilla glass, anti-glare screen",iris xe graphics,intel iris xe graphics,,,2643.99,512.0
dell,latitude,14.0,i7,16.0,windows 11 pro,information not available,integrated,,,,1482.04,512.0
dell,alienware m17 ryzen edition r5 laptop,17.3,Ryzen 7,16.0,windows 11 home,,dedicated,nvidia geforce rtx 3070 ti,,5.0,1881.99,2000.0
asus,taichi21,11.6,i5,4.0,windows 8,,integrated,intel hd graphics 4000,,3.5,462.0,128.0
xpg,xenia 15g,15.6,i7,32.0,windows 11 home,backlit keyboard,dedicated,nvidia geforce rtx,,5.0,1699.99,512.0
hp,hp pavilion i7-1065g7 fhd touch,15.6,i7,12.0,windows 10,"backlit keyboard,numeric keypad",integrated,,,3.4,959.99,1024.0
dell,kx9w6,13.3,i7,16.0,windows 10 pro,,integrated,,1.8,5.0,1273.99,512.0
dell,latitude 5530 laptop,15.6,i7,16.0,windows 11 pro,backlit keyboard,integrated,,,,1009.0,1000.0
dell,xps 9315 2-in-1,13.0,i7,16.0,windows 11 home,,integrated,intel integrated graphics,,,1561.99,1000.0
dell,alienware x14 laptop,14.0,i7,12.0,windows 11 home,,integrated,nvidia geforce rtx 3060,,,2086.99,1000.0
dell,latitude e6540,15.6,i7,16.0,windows 10 pro 64 bit-multi-language support english/french/spanish.,,integrated,integrated graphics,,,268.98,500.0
lenovo,legion 5 pro,16.0,Ryzen 7,16.0,windows 11 home,,dedicated,amd radeon rtx 3070,3.2,,1344.99,512.0
gigabyte,aorus 17 xe4-73us514sh,17.0,intel mobile cpu,16.0,windows 11 home,,dedicated,,,4.0,1119.99,1024.0
lenovo,thinkpad p14s gen 2,14.0,Ryzen 7,16.0,windows 11 pro,anti-glare screen,radeon graphics,,,,1638.95,512.0
apple,macbook pro,13.0,apple m1,16.0,macos 12 monterey,,integrated,,3,1.0,1657.99,512.0
dell,latitude 9000,14.0,i7,16.0,windows 10 pro,"corning gorilla glass 6, anti-reflection, anti-smudge",iris xe graphics,,,,2150.88,512.0
dell,latitude 3000,14.0,i5,8.0,windows 10 pro,,iris xe graphics,intel iris xe graphics,,1.7,836.16,256.0
dell,latitude 7410 laptop,14.0,i7,16.0,windows 11 pro,wifi & bluetooth,integrated,,,5.0,749.99,256.0
dell,latitude,15.6,i5,32.0,windows 11 pro,backlit keyboard,integrated,,,,953.82,512.0
lenovo,yoga c940-14iil,14.0,i7,8.0,windows 10,"fingerprint reader,pen",integrated,,,4.0,899.0,512.0
asus,asus rog strix,15.6,i7,8.0,windows 10,rgb backlit keyboard,dedicated,,,5.0,979.0,512.0
acer,chromebook 315 cb315-4h,15.6,Celeron,4.0,chrome os,,uhd graphics,intel uhd graphics,1.1,4.5,312.99,512.0
lenovo,lenovo slim 3i chromebook,14.0,intel atom,4.0,chrome os,,integrated,,,,333.99,64.0
hp,17-by4013dx,15.6,athlon silver 3050u,8.0,windows 11 home,,integrated,amd radeon graphics,,4.5,378.0,256.0
lenovo,chromebook flex 5,13.3,i3,4.0,chrome os,"anti-glare,backlit keyboard,narrow bezels",integrated,,,5.0,399.0,64.0
dell,latitude 5320 2-in-1,13.3,i7,16.0,windows 10 pro,wifi & bluetooth,integrated,,,3.4,1273.99,512.0
dell,latitude 5430 laptop,14.0,i7,32.0,windows 11 pro,,integrated,intel integrated graphics,,5.0,1227.99,1000.0
asus,asus chromebook c423,14.0,Celeron,4.0,chrome os,"anti-glare,ultra-narrow bezel",,intel hd graphics 500,,4.2,199.0,32.0
asus,p1512cea-xs51,15.6,i5,8.0,windows 11 pro,,integrated,,2.4,,619.71,256.0
lenovo,t450,14.0,i5,16.0,windows 10 home,speakers,integrated,intel hd 5500,,5.0,139.98,256.0
dell,xps 15 7590,15.6,i7,16.0,windows 10 pro,"anti-glare,backlit keyboard,fingerprint reader",nvidia geforce gtx 1650 4gb,dedicated,,3.5,979.0,512.0
lenovo,thinkpad t15g gen 2,15.6,i9,32.0,windows 10 pro,,geforce rtx 3080,nvidia geforce rtx 3080,,4.5,4119.0,1024.0
dell,xps 9320 laptop,13.4,i7,16.0,windows 11 pro,,integrated,intel integrated graphics,,,1273.99,512.0
dell,precision 3000,15.6,i7,16.0,windows 10 pro,anti-glare screen,t550,,,,1723.77,512.0
lenovo,lenovo thinkpad,14.0,i5,8.0,windows 11,,integrated,intel hd graphics 520,2.4,,653.99,256.0
hp,zbook firefly 16 g9,16.0,i7,32.0,windows 11 pro,anti-glare screen,"t500,iris xe graphics",nvidia intel t500 iris xe graphics,,,1973.99,512.0
panasonic,panasonic toughbook,13.1,i5,4.0,windows 7,water proof,integrated,,,2.7,299.95,250.0
acer,chromebook,15.6,Celeron,4.0,chrome os,,integrated,intel hd graphics,1.5,3.6,93.99,512.0
dell,i3500-7722blk-pus,15.6,i7,16.0,windows 10 home,anti-glare,nvidia geforce rtx2060,,,4.3,1699.0,512.0
dell,dell inspiron 16 5625,16.0,Ryzen 7,16.0,windows 11 home,,integrated,amd radeon graphics,,5.0,854.86,1000.0
msi,summit e14evo a12m-026,14.0,i5,16.0,windows 11 pro,,integrated,intel iris xe graphics,,,941.05,512.0
microsoft,laptop 4 13 i5/8gb/512gb ice blue,13.5,i5,8.0,windows 10 home,dolby,integrated,,,4.4,865.0,512.0
dell,latitude 7000,14.0,i7,32.0,windows 11 pro,anti-glare screen,iris xe graphics,,,,2192.13,512.0
hp,hp elitebook,14.0,i5,8.0,windows 10 pro,,integrated,,2.4,,490.77,256.0
hp,dragonfly folio g3,13.5,i7,16.0,windows 11 pro,"corning gorilla glass 7, miracast technology",iris xe graphics,intel iris xe graphics,,,2333.99,512.0
asus,asus vivobook,14.0,i3,4.0,windows 10 home,active stylus,integrated,,,4.4,446.98,128.0
dell,latitude 3000,14.0,i3,8.0,windows 11 pro,anti-glare screen,uhd graphics,,,,784.97,256.0
hp,hp chromebook 11,11.6,Celeron,4.0,chrome os,anti-glare screen,integrated,intel hd graphics 400,,4.0,69.82,512.0
dell,dell xps,13.3,i5,8.0,windows 10,full hd anti-glare,integrated,,,3.6,1099.95,128.0
lenovo,thinkpad e14 gen 4,14.0,Ryzen 5,16.0,windows 11,anti-glare screen,radeon graphics,amd radeon graphics,,,729.99,256.0
dell,latitude 7640 laptop,16.0,i7,32.0,windows 11 pro,,integrated,intel integrated graphics,,,1662.92,512.0
lenovo,thinkpad,11.6,Celeron,4.0,windows 10 pro,anti glare coating,integrated,,,3.7,286.0,128.0
dell,precision 3000,15.6,i5,16.0,windows 10 pro,anti-glare screen,gt2 graphics,,,,1526.31,256.0
dell,xps 9315 laptop,13.4,i5,16.0,windows 11 pro,,integrated,intel integrated graphics,,,909.99,512.0
microsoft,surface laptop,15.0,Ryzen 5,8.0,windows 10 home,,integrated,amd radeon vega 9,,4.2,799.0,256.0
asus,rog strix scar g533z,15.6,i9,16.0,windows 10 home,"hd audio, backlit keyboard, anti glare coating, numeric keypad",dedicated,,,,2249.99,1024.0
dell,inspiron 7620 laptop,16.0,i7,40.0,windows 11 home,,integrated,intel integrated graphics,,5.0,1498.0,1000.0
iview,iview-1430nb,14.1,Celeron,4.0,windows 10,,integrated,embedded,,4.3,189.95,64.0
lenovo,82lx0050us,15.6,intel mobile cpu,4.0,windows 11 s,"bezels,dolby,stereo speakers",integrated,,3.3,,222.5,128.0
dell,inspiron 3511,15.6,i5,16.0,windows 10 pro,,integrated,intel uhd graphics,1,,681.61,512.0
dell,precision 5000,15.6,i7,32.0,windows 10 pro,anti-glare screen,rtx a2000,,,4.0,1699.95,512.0
dell,latitude,14.0,i7,16.0,windows 11 pro,,integrated,intel iris xe graphics,2.8,,802.91,512.0
dell,g15,15.6,i5,8.0,windows 11 home,,rtx 3050,,2.6,,760.99,256.0
asus,asus vivobook,11.6,Celeron,2.0,windows 10,,integrated,,1.1,4.2,199.99,32.0
lenovo,lenovo ideapad,15.6,Pentium,20.0,windows 11,anti-glare,integrated,,,4.2,419.0,1024.0
acer,swift go 14,14.0,i5,8.0,windows 11 home,"fingerprint reader, backlit keyboard",integrated,intel iris xe graphics,,4.3,799.99,512.0
dell,latitude 5420,14.0,i5,8.0,windows 10 pro,anti glare,integrated,,,3.7,656.25,1000.0
acer,chromebook 311,11.6,MediaTek,4.0,chrome os,,integrated,intel integrated graphics,,4.4,219.0,32.0
gigabyte,u4 ud-50us823so,14.0,intel mobile cpu,16.0,windows 11 home,thin bezel,integrated,,,3.3,700.43,512.0
asus,vivobook,11.6,Celeron,4.0,windows 10 s,,integrated,intel uhd graphics 605,1.1,4.0,169.0,32.0
dell,latitude,15.6,i7,32.0,windows 11 pro,backlit kb,integrated,,,4.3,949.0,1024.0
dell,latitude 7000,14.0,i7,16.0,windows 11 pro,anti-glare screen,iris xe graphics,intel iris xe graphics,,,1875.98,256.0
lenovo,thinkpad x1 extreme gen 5,16.0,i7,16.0,windows 11 pro,anti-glare screen,geforce rtx 3050 ti,nvidia geforce rtx 3050 ti,,,2352.59,512.0
dell,xps 9520 laptop,15.6,i7,16.0,windows 11 home,,dedicated,nvidia geforce rtx 3050,,,1566.99,512.0
dell,xps 9320 laptop,13.4,i7,32.0,windows 11 pro,,integrated,intel integrated graphics,,,1820.99,2000.0
dell,dell 5000,14.0,i7,16.0,windows 11 pro,fingerprint,dedicated,,,,1077.24,512.0
lenovo,thinkpad p16s g1,16.0,i7,16.0,windows 11 pro,anti-glare screen,qn20-m1-r,,,,1851.99,512.0
samsung,chromebook 4,11.6,Celeron,4.0,chrome os,,integrated,intel uhd graphics 600,,4.9,249.49,64.0
dell,xps 9530 laptop,15.6,i7,32.0,windows 11 home,,dedicated,nvidia geforce rtx 4050,,,2409.99,2000.0
lenovo,chromebook flex 3,11.6,Celeron,4.0,chrome os,,integrated,intel uhd graphics 600,,4.3,229.0,64.0
dell,precision 5000,14.0,i7,16.0,windows 10 pro,anti-glare screen,rtx a1000,nvidia rtx a1000,,,2472.99,512.0
dell,dell precision 5560,15.0,i7,32.0,no,,,,,,1999.95,512.0
dell,precision 3000,15.6,i7,16.0,windows 11 pro,anti-glare screen,dedicated,,5,,1514.09,512.0
lg,lg gram,15.6,i5,8.0,windows 10 home,,integrated,intel iris plus,,4.0,999.99,256.0
dell,xps,17.0,i7,16.0,windows 10,"backlit keyboard,fingerprint reader",dedicated,,,3.8,2179.05,1024.0
lenovo,thinkpad p14s gen 3,14.0,i7,16.0,windows 11 pro,anti-glare screen,t550,,,,2426.99,512.0
microsoft,surface laptop,13.5,i5,16.0,windows 11 home,dolby,integrated,,,,1499.99,512.0
hp,hp 14 laptop,14.0,i3,4.0,windows 10 home,anti-glare,integrated,,,3.7,328.58,128.0
dell,latitude 5420,15.6,i5,8.0,windows 10 pro,anti glare,integrated,integrated,,4.2,1443.6,256.0
acer,c771-c4tm,11.6,Celeron,1.0,chrome os,spill resistant,integrated,,,4.2,295.4,32.0
dell,dell latitude,13.3,i5,8.0,windows 10 pro,,integrated,intel iris,,5.0,729.0,256.0
hp,pro x2 612g1+keyboard,12.5,i5,8.0,windows 10 pro 64 bit multi-language support english/french/spanish,,integrated,integrated graphics,,,209.98,256.0
dell,latitude 7420 laptop,14.0,i7,32.0,windows 10 pro,wifi & bluetooth,integrated,,,,1652.99,512.0
lenovo,thinkpad t15p gen 3,15.6,i7,8.0,windows 11,anti-glare screen,geforce rtx 3050,,,,1920.57,256.0
dell,latitude 7420,14.0,i5,16.0,windows 10 pro,anti glare,integrated,intel iris xe graphics,,5.0,544.0,256.0
hp,38s12ut#aba,13.3,i5,16.0,windows 10 pro,,integrated,,2.4,,2099.0,256.0
dell,dell 5000,16.0,Ryzen 7,16.0,windows 11,"fingerprint reader, hd audio, backlit keyboard, anti glare coating, memory card slot",integrated,,,,854.86,512.0
lenovo,thinkpad t16 gen 1,16.0,Ryzen 5,16.0,windows 11 pro,anti-glare screen,radeon graphics,amd radeon graphics,,,1007.0,256.0
lenovo,lenovo thinkpad x1 carbon gen 11,14.0,i7,32.0,windows 11 pro,,integrated,intel iris xe graphics,,,1644.31,512.0
hp,elitebook 820g3,12.5,i5,16.0,windows 10 pro 64 bit multi-language support english/french/spanish,,integrated,integrated graphics,2.4,4.0,307.98,512.0
msi,modern 14 b11mo-857,14.0,i5,8.0,win 10 multi-language /free upgrade to win 11,"multi touch, intel 9560 jefferson peak (2x2 802.11 ac), white backlight 84 key",integrated,,,2.0,699.0,512.0
dell,e6540,15.6,i7,8.0,windows 7 professional,hd audio,dedicated,amd radeon hd 8790m,,3.7,529.95,500.0
dell,dell inspiron 16 5625,16.0,Ryzen 7,16.0,windows 11 pro,,integrated,amd radeon graphics,,,854.86,1000.0
lg,17z90r-n.apc5u1,17.0,i7,8.0,windows 11 pro,,integrated,intel iris xe graphics,,,1469.99,512.0
hp,spectre x360,15.6,i7,16.0,windows 11 home,"fingerprint,pen",integrated,intel iris xe graphics,,,2299.0,512.0
dell,latitude 7000,14.0,i7,16.0,windows 10 pro,anti-glare screen,iris xe graphics,,,,1652.68,256.0
asus,vivobook,15.6,i3,12.0,windows 11 home,,integrated,intel uhd graphics,,3.8,479.0,512.0
dell,dell xps 15 9520,15.6,i7,32.0,windows 11 pro,"fingerprint reader, hd audio, backlit keyboard, anti glare coating",dedicated,,,1.0,1681.29,1024.0
toughbook,cf-54 mk1,14.0,i5,8.0,windows 10 pro,anti glare coating,integrated,,,3.3,749.89,512.0
lenovo,yoga,14.0,i5,12.0,windows 10 home,fingerprint reader,integrated,,,3.8,1049.0,512.0
dell,latitude e6540,15.6,i7,16.0,windows 10 pro 64 bit-multi-language support english/french/spanish.,,integrated,integrated graphics,,,342.98,1000.0
dell,dell latitude 14 5000 e5470,14.0,i7,16.0,windows 10 pro,anti glare,integrated,,,5.0,339.0,512.0
dell,dell latitude,15.6,i3,4.0,windows 7,,integrated,intel hd graphics 3000,2.4,4.3,249.95,320.0
dell,precision 5000,14.0,i7,16.0,windows 11 pro,anti-glare screen,rtx a1000,,,,1770.16,512.0
hp,elitebook folio,14.0,i5,4.0,windows 10 64 bit-multi-language supports english/spanish/french,,integrated,intel hd integrated graphics,1.7,5.0,252.98,256.0
dell,latitude rugged 5420 laptop,14.0,i7,32.0,windows 11 pro,wifi & bluetooth,amd radeon rx 540,,,,999.66,256.0
lenovo,thinkpad x1 nano gen1,13.0,i7,16.0,windows 11 pro,anti-glare screen,iris xe graphics,,,5.0,1504.08,256.0
dell,dell latitude,14.0,8032,8.0,windows 10,speakers,integrated,intel uhd 620 graphics,,4.7,540.0,1000.0
acer,acer swift 3 sf313-52-526m,15.6,i5,8.0,windows 10 home,,integrated,,1.1,,436.11,256.0
acer,pt516-52s-73yd,16.0,i7,16.0,windows 11 home,anti glare coating,dedicated,,,2.8,1849.0,1024.0
dell,latitude 9000,14.0,i5,16.0,windows 11 pro,"anti-smudge, corning gorilla glass",iris xe graphics,intel iris xe graphics,,,1713.59,256.0
lenovo,thinkpad x13 gen 3,13.3,i7,16.0,windows 11 pro,anti-glare screen,iris xe graphics,intel iris xe graphics,,,1730.95,512.0
hp,b09hsnncql,15.6,athlon,4.0,windows 10 home,micro-edge bezel,integrated,amd athlon,,5.0,288.0,128.0
dell,inspiron 3511,15.6,i5,32.0,windows 11 home,,integrated,intel uhd graphics,1,,714.34,256.0
lenovo,thinkpad p1 gen 4,16.0,i7,16.0,windows 10 pro,anti-glare screen,t1200,,,,1960.77,512.0
acer,cb3-111,11.6,Celeron,16.0,chrome os,,integrated,intel hd graphics,,4.4,159.95,16.0
msi,raider ge76 12uhs-255,17.3,i7,32.0,windows 11 home,anti-glare screen,dedicated,,,3.8,3599.0,1024.0
hp,hp envy,13.3,i7,16.0,windows 10 pro,"backlit keyboard,fingerprint reader",integrated,,,3.8,1499.0,1024.0
dell,precision 3000,15.6,i7,16.0,windows 11,microphone,rtx a500,nvidia rtx a500,,5.0,1734.21,512.0
dell,latitude,15.6,i7,16.0,windows 11 pro,,integrated,intel iris xe graphics,,5.0,873.93,512.0
dell,latitude e6400,14.1,core 2 duo,16.0,windows 7 professional,,dedicated,,2.53,3.8,89.99,160.0
dell,precision 7670 laptop,16.0,i7,32.0,windows 11 pro,,dedicated,nvidia rtx a1000,,,1385.98,512.0
ctl,chromebook,14.0,Celeron,8.0,chrome os,information not available,uhd graphics,intel uhd graphics,,,417.99,64.0
dell,v7620,16.0,i7,24.0,windows 11 pro,"backlit keyboard,fingerprint",dedicated,,,,1193.72,512.0
hp,hp notebook,15.6,Celeron,16.0,windows 10,,,,,4.1,425.99,512.0
hp,elite x360 1040 g9,14.0,i7,16.0,windows 11 pro,information not available,iris xe graphics,intel iris xe graphics,,,1796.25,512.0
dell,dell precision,13.4,i7,16.0,windows 10 pro,fingerprint,integrated,xps9300-7909slv-pus,,4.7,1101.49,1024.0
hp,probook x360,11.6,Celeron,4.0,windows 11 pro,information not available,uhd graphics,intel uhd graphics,2.8,,401.99,512.0
dell,vxdv2,14.0,i5,16.0,windows 10 pro,,integrated,intel uhd graphics,2.6,,1699.0,256.0
dell,latitude 3000,11.6,Celeron,4.0,windows 11,anti-glare screen,uhd graphics,intel uhd graphics,1.1,2.3,287.99,256.0
dell,latitude 9000,14.0,i7,16.0,windows 10 pro,,,,,,2108.4,128.0
dell,latitude 5000,14.0,Celeron,4.0,chrome os,anti-glare screen,uhd graphics 610,,,4.5,361.65,128.0
hp,elitebook 840 g8,14.0,i7,16.0,windows 11 pro,"anti-glare screen, miracast technology",iris xe graphics,intel iris xe graphics,,,1659.99,256.0
dell,latitude 5530 laptop,15.6,i7,16.0,windows 11 pro,backlit keyboard,integrated,,,,879.0,512.0
dell,precision 3550,13.3,i7,16.0,windows 10 pro (english/french/spanish),,integrated,intel hd graphics 520,1.8,,1399.81,512.0
hp,elitebook 1040 g9,14.0,i7,16.0,windows 11 pro,anti-glare screen,iris xe graphics,intel iris xe graphics,,,1963.3,512.0
dell,dell inspiron,11.6,amd a series,4.0,windows 10,,dedicated,amd radeon r4,,3.7,289.0,32.0
lg,14t90p-k.aag9u1,14.0,i7,16.0,windows 11 home,pen,intel xe,,,4.5,1699.99,1024.0
dell,latitude 9000,15.0,i5,16.0,windows 10 pro,"corning gorilla glass 6, anti-reflection, anti-smudge",iris xe graphics,,,,1523.03,256.0
dell,dell latitude,13.3,i5,8.0,windows 10 pro,,integrated,,2.6,5.0,545.0,256.0
acer,chromebook spin 511 r753t,11.6,Celeron,8.0,chrome os,,uhd graphics,intel uhd graphics,,2.9,485.99,64.0
dell,dell precision,17.3,i7,16.0,windows 10 pro,,dedicated,,2.6,5.0,1998.77,512.0
lenovo,lenovo thinkpad x1 yoga i5,14.0,i5,8.0,windows 10 pro,"fingerprint,pen",integrated,,,5.0,844.65,256.0
dell,precision 5470 laptop,14.0,i7,32.0,windows 11 pro,,integrated,nvidia rtx a1000,,,2668.91,2000.0
dell,latitude 7000,14.0,i5,8.0,windows 10 pro,anti-glare screen,iris xe graphics,,,,569.77,256.0
dell,precision 3000,15.6,i7,16.0,windows 10 pro,anti-glare screen,t550,,,,1599.77,512.0
hp,elitebook 630 g10,13.3,i3,8.0,windows 11 pro,anti-glare screen,uhd graphics,intel uhd graphics,,,905.27,256.0
hp,hp14ca000nr,14.0,Celeron,4.0,chrome os,hd audio,integrated,intel hd graphics 500,1.1,4.5,169.0,256.0
lenovo,20ygs02q00,15.6,i7,8.0,windows 10,,dedicated,amd radeon graphics 5500,,5.0,799.0,256.0
dell,laitude e6540,15.6,i5,8.0,win 10 pro 64 bit multi-language support english/french/spanish(renewed),,integrated,integrated graphics,,,266.98,500.0
dell,pkv7y,15.6,i7,32.0,windows pro,,dedicated,nvidia quadro t1000,,,1244.95,1000.0
dell,precision 7670 laptop,16.0,i7,32.0,windows 11 pro,,dedicated,nvidia rtx a1000,,,1269.99,1000.0
lenovo,thinkstation p348,15.6,i7,16.0,windows 11 pro,,,,,,1171.31,256.0
dell,f2wj0,14.0,i5,16.0,windows 10 pro,,integrated,,1.7,5.0,1557.79,256.0
dell,dell latitude 7214 rugged laptop 2 in 1,11.6,i5,8.0,windows 10 pro,,integrated,intel uhd graphics,,3.9,899.95,512.0
dell,dell latitude,14.0,8032,8.0,windows 10,speakers,integrated,intel uhd 620 graphics,,4.7,540.0,512.0
lenovo,yoga 710,15.6,i5,8.0,windows 10,,integrated,intel hd graphics 620,,4.2,699.99,256.0
dell,latitude 5320 laptop,13.3,i7,8.0,windows 11 pro,wifi & bluetooth,integrated,,,,807.99,256.0
lenovo,thinkpad,15.6,i7,32.0,windows 7,fingerprint reader,,intel hd graphics;nvidia optimus graphics,2.6,3.4,369.95,500.0
lenovo,thinkpad p16s g1,16.0,Ryzen 7,32.0,windows 11 pro,anti-glare screen,radeon 680m,amd radeon 680m,,1.0,2399.99,1024.0
dell,dell inspiron 15 3520,15.6,i7,16.0,windows 11 home,,integrated,intel iris xe graphics,,4.0,809.0,512.0
hp,hp chromebook,14.0,Celeron,4.0,windows 10 s,,integrated,intel uhd graphics 600,,4.3,228.0,0.0625
dell,dell precision,13.4,i7,16.0,windows 10 pro,fingerprint,integrated,xps9300-7909slv-pus,,4.7,1101.34,1024.0
hp,probook x360,11.6,Celeron,4.0,windows 11 pro,information not available,uhd graphics,intel uhd graphics,2.8,,401.99,256.0
dell,latitude,13.3,i5,8.0,windows 11 pro,information not available,integrated,,,,1129.99,256.0
dell,vostro 5410 laptop,14.0,i5,8.0,windows 10 pro,wifi & bluetooth,integrated,,,,696.99,256.0
dell,inspiron,14.0,i7,32.0,windows 11 home,backlit kb,integrated,,,4.5,880.62,1024.0
hp,hp elitebook,15.6,i5,4.0,windows 7 professional,,integrated,intel hd graphics 4000,2.6,3.6,289.95,500.0
razer,blade 17,17.3,i9,32.0,windows 11,,rtx 3080 ti,,5,3.7,5599.0,1024.0
asus,asus vivobook go 14,14.0,Celeron,4.0,windows 11 home s,fingerprint,integrated,,,5.0,432.99,128.0
dell,xps 9315 laptop,13.4,i7,32.0,windows 11 pro,,integrated,intel integrated graphics,,,1150.99,1000.0
acer,cb315-2h-25tx,15.6,amd a4,4.0,chrome os,,"integrated, dedicated",amd radeon r4,,4.3,344.0,32.0
msi,prestige 14 evo a11m-221,14.0,i5,16.0,windows 10,,integrated,intel iris xe graphics,,3.6,1025.01,512.0
dell,dell xps 13 9305,13.0,i5,8.0,windows 10 pro,space saving,integrated,,,,655.99,256.0
asus,asus tuf dash f15,15.6,i7,32.0,windows 11 pro,"hd audio, backlit keyboard, anti glare coating, numeric keypad",dedicated,,,,1789.0,1024.0
dell,latitude 7420 laptop,14.0,i7,16.0,windows 11 pro,,integrated,intel integrated graphics,1.2,5.0,879.84,512.0
lenovo,thinkpad x1,14.0,i7,16.0,windows 10 pro (64-bit),speakers,integrated,intel hd graphics 620,,3.5,1470.77,512.0
dell,latitude 5000,15.6,i7,8.0,windows 10 pro,anti-glare screen,iris xe graphics,,,,1531.28,256.0
acer,aspire one,14.0,Celeron,4.0,windows 10,,integrated,intel hd graphics 500,,3.8,275.0,32.0
dell,precision 3000,14.0,i7,16.0,windows 11 pro,anti-glare screen,rtx a500,nvidia rtx a500,,,1626.18,512.0
dell,alienware m18 laptop,18.0,i9,32.0,windows 11 home,,integrated,nvidia geforce rtx 4080,,,3098.97,1000.0
dell,n8p7j,15.6,i5,16.0,windows 10 pro,,integrated,intel uhd graphics 620,1.7,5.0,890.77,512.0
dell,dell inspiron 15 3000 3525 laptop,15.6,amd r series,32.0,windows 11,anti-glare,integrated,,,,835.57,1024.0
